prostor,uid,št. aliasov,št. sklicev,opis
David Gao's ultraconnected non-contractible space,S000100,0,1,"David Gao's example of a nonempty {P40} space that is not {P199},
as constructed in {{mathse:5001004}}.

The underlying set is the set $X$ of partial functions $f$ from $\mathbb{Z}$ to $\{0, 1\}$ satisfying all of the following three conditions:

1. There exists $n \in \mathbb{Z}$ such that the domain of $f$ is $\mathbb{Z}_{\leq n}$. We call $n$ the *length* of $f$, which shall be denoted by $l(f)$.
2. There exists $n \in \mathbb{Z}$ such that $f(m) = 0$ for all $m \leq n$.
3. Either $\text{range}(f) = \{0\}$ and $l(f) \leq 0$; or there exists $n < 0$ such that $f(n) = 1$, and furthermore if $n_0 = \min\{n < 0: f(n) = 1\}$, then $l(f) \leq -n_0$.

For partial functions $f, g$ from $\mathbb{Z}$ to $\{0, 1\}$, we shall say $g$ is a *truncation* of $f$, denoted by $g \leq f$, if there exists $n \in \mathbb{Z}$ s.t. $g = f|_{\text{dom}(f) \cap \mathbb{Z}_{\leq n}}$. Truncations of elements of $X$ are also in $X$.
Furthermore, $\leq$ is a partial order on $X$.

To define the topology on $X$, for each $x \in X$, let

$$T_x = \{y \in X: y \leq x\}.$$

And for each $n \in \mathbb{Z}$, let

$$K_n = \{y \in X: l(y) \leq n\}.$$

The set $X$ is equipped with the topology generated by the closed subbasis

$$\{T_x: x \in X\} \cup \{K_n: n \in \mathbb{Z}\};$$

that is, the topology on $X$ is generated by the subbasis of open sets consisting of the complements of the $T_x$ and the complements of the $K_n$."
Continuum power of a countable discrete space,S000101,1,1,"The product topology on \(\omega^{\mathfrak c}\).

Defined as counterexample #103 (""Uncountable Products of \(\mathbb{Z}^+\)"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Baire metric on $\mathbb R^\omega$,S000102,1,1,"The Baire metric on $X = \mathbb{R}^\omega$ is defined by $d(\langle x_i\rangle, \langle y_i\rangle) = \frac{1}{i}$ where $i$ is the first coordinate such that $x_i \neq y_i$.

This space is homeomorphic to a countable product of discrete spaces of
size continuum.

Defined as counterexample #104 (""Baire Metric on \(\mathbb{R}^\omega\)"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Continuum-power of closed unit intervals,S000103,2,1,"Let $I$ be the unit interval $[0,1]$ and let $X$ have the product topology on $I^I$.

Defined as counterexample #105 (""\(I^I\)"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Product of the first-uncountable ordinal with the continuum-power of unit intervals,S000104,1,1,"The product topology on $\omega_1$ ({S35}) crossed with $I^I$ ({S103}).

Defined as counterexample #106 (""\([0,\Omega)\times I^I\)"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Helly space,S000105,1,2,"Let $X \subset I^I$ be the subspace
of {S103} consisting of all non-decreasing functions.

Defined as counterexample #107 (""Helly Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Countable box product of reals,S000107,3,1,"The set \(\mathbb{R}^\omega\) with the box product topology where basic open
sets are of the form \(\prod_{i<\omega}U_i\) for \(U_i\) open in \(\mathbb R\).
Also known as the Boolean product.

Defined as counterexample #109 (""Box Product Topology on \(\mathbb{R}^\omega\)"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Stone-Cech compactification of the integers,S000108,5,2,"$\beta \omega$ is the set of all ultrafilters on $\omega=\{0,1,2\dots\}$,
where we identify $n$ with the principal ultrafilter containing $n$.
The topology on $\beta\omega$ is generated by all sets of the form
$\overline U = \{F \in \beta\omega : U \in F\}$ for $U \subset \omega$.

Defined as counterexample #111 (""Stone-Cech Compactification of the Integers"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Novak space,S000109,0,1,"Let $S = \beta \omega$. Let $F = S^{[\omega]}$ be the family of all countably infinite subsets of $S$ and fix a well ordering for $F$. Let $\hat{f}: S \rightarrow S$ be the extension of the function $f(n) = n + (-1)^{n+1}$. Let $\{P_A\ |\ A \in F\}$ be a collection of subsets of $S$ such that $|P_A| < 2^\mathfrak{c}$, $P_D \subset P_A$ whenever $D < A$ and $\hat{f}(P_A) \cap P_A = \emptyset$. Novak's space is $X = \omega \cup \bigcup_{A \in F} P_A \subset \beta\omega$ with the subspace topology.

Defined as counterexample #112 (""Novak Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Strong ultrafilter topology,S000110,0,1,"Let $M$ be the set of all free ultrafilters on $\omega$. The strong ultrafilter
topology is the set $X = \omega \cup M$ with topology generated by singletons
of $\omega$ along with all sets of the form $A \cup \{F\}$ for $A \in F \in M$.

Defined as counterexample #113 (""Strong Ultrafilter Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Single ultrafilter subspace of $\beta\omega$,S000111,1,1,"Let $F$ be a non-principal ultrafilter on $\omega$. The space $X$ is the set $\omega\cup\{F\}$ with points of $\omega$ isolated
and neighborhoods of $F$ all sets of the form $U \cup \{F\}$ for $U \in F$.

This is the subspace topology on $\omega\cup\{F\}$ induced as a subset of $\beta\omega$ ({S108}).

Defined as counterexample #114 (""Single Ultrafilter Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

Not to be confused with {S145}."
Nested rectangles in the real plane,S000112,0,1,"Let $L_1$ be the line $x=1$, $L_2$ the line $x=-1$ and $R_n$ the boundary of the rectangle centered at $(0,0)$ with height $2n$ and width $\frac{2n}{n+1}$. Let $X = L_1 \cup L_2 \cup \bigcup_{n \ge 1} R_n$ with the subspace topology inherited from $\mathbb{R}^2$.

Defined as counterexample #115 (""Nested Rectangles"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Topologist's sine curve,S000113,0,2,"The set $X = \{(x, \sin\frac{1}{x}):x \in (0,1]\} \cup \{(0,0)\}$ with the subspace topology inherited from $\mathbb{R}^2$.

Defined as counterexample #116 (""Topologist's Sine Curve"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Closed Topologist's Sine Curve,S000114,0,2,"The set $X=\{(x, \sin\frac{1}{x}):x \in (0,1]\} \cup \{(0,y):y \in [-1,1]\}$ with the subspace topology inherited from $\mathbb{R}^2$.

Defined as counterexample #117 (""Closed Topologist's Sine Curve"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Extended topologist's sine curve,S000115,0,2,"The set $X=\{(x, \sin\frac{1}{x}):x \in (0,1]\} \cup \{(0,y):y \in [-1,1]\} \cup \{(x,1):x\in[0,1]\} $ with the subspace topology inherited from $\mathbb{R}^2$.

Defined as counterexample #118 (""Extended Topologist's Sine Curve"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Infinite broom,S000116,0,2,"For each $n \in \omega$ let $L_n$ be the line segment from $(0,0)$ to $(1,\frac{1}{n+1})$. The Infinite Broom is the set $\bigcup_{n \in \omega} L_n \cup \big((\frac{1}{2},1] \times \{0\}\big) \subset \mathbb{R}^2$ with the subspace topology.

Defined as counterexample #119 (""The Infinite Broom"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Closed infinite broom,S000117,0,2,"For each $n \in \omega$ let $L_n$ be the line segment from $(0,0)$ to $(1,\frac{1}{n+1})$. The Infinite Broom is the set $\bigcup_{n \in \omega} L_n \cup \big((0,1] \times \{0\}\big) \subset \mathbb{R}^2$ with the subspace topology.

Defined as counterexample #120 (""The Closed Infinite Broom"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Integer broom,S000118,0,2,"Let $X \subset \mathbb{R}^2$ consist of points with polar coordinates $\{(n,\theta)\ \mid\ n \in \omega, \theta \in \{0\} \cup \{1/n\}_{n=1}^\infty\}$. Define a topology on $X$ by taking as a basis all sets of the form $U \times V$ where $U$ is an open set in the right order topology on the positive integers and $V$ is open in $\{0\} \cup \{1/n\}_{n=1}^\infty \subset \mathbb{R}$. The only neighborhood of the origin is $X$ itself.

This space is the quotient of the product of {S200} with {S20} where all points whose first components are 0 are identified.

Defined as counterexample #121 (""The Integer Broom"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Nested angles in the real plane,S000119,0,1,"Let $X \subset \mathbb{R}^2$ be the set consisting of the line segments joining the points $(0,1)$ and $(n, \frac{1}{n+1})$ for $n=1,2,\dots$; the half-lines $y = \frac{1}{n+1}$, $x \leq n$ for $n=1,2,\dots$; and the line $y=0$. Give $X$ the subspace topology.

Defined as counterexample #122 (""Nested Angles"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Infinite cage,S000120,0,1,"For each integer $n\geq 1$, let
$A_n = \{(\frac{1}{n}, y, 0) \in \mathbb{R}^3\ |\ 0 \leq y \leq 3n\}$,
$B_n = \{(0,y,0) \in \mathbb{R}^3\ |\ 2n - \frac{1}{2} \leq y \leq 2n + \frac{1}{2}\}$ and
$C_n = \{(x,y,z) \in \mathbb{R}^3\ |\ 0 \leq x \leq \frac{1}{n}, y=2n, z=x(\frac{1}{n} -x)\}$.
The Infinite Cage is the space $X = \bigcup_{n \geq 1} (A_n \cup B_n \cup C_n) \subset \mathbb{R}^3$ with the subspace topology.

Defined as counterexample #123 (""The Infinite Cage"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Bernstein's connected set,S000121,0,1,"Let $\{C_\alpha\ : \alpha<\mathfrak c\}$ be a well-ordering of the set of
all closed, {P36} subsets of {S176} that contain at least two points
(so in fact each $C_\alpha$ has cardinality $\mathfrak c$).
Note that there are $\mathfrak c$ such $C_\alpha$.
We shall define sets $A_\alpha$ and $B_\alpha$ such that
$A_\alpha \cap B_\beta = \emptyset$ for all $\alpha, \beta<\mathfrak c$.
First, let $A_0$, $B_0$ be distinct singletons in $\mathbb{R}^2$.
Now, assuming $A_\beta,B_\beta$ are defined for all $\beta<\alpha$
and $|\bigcup_{\beta<\alpha}(A_\beta\cup B_\beta)|<\mathfrak c$,
we may choose $A_\alpha=\{a_\alpha\}\cup\bigcup_{\beta<\alpha}A_\beta$
and $B_\alpha=\{b_\alpha\}\cup\bigcup_{\beta<\alpha}B_\beta$ such that
$a_\alpha,b_\alpha$ are distinct points in
$C_\alpha\setminus\left(\bigcup_{\beta<\alpha}(A_\beta\cup B_\beta)\right)$.

Bernstein's connected set is $A=\bigcup_{\alpha<\mathfrak c}A_\alpha$
with its subspace topology induced from {S176}.

Defined as counterexample #124 (""Bernstein's Connected Sets"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Gustin's sequence space,S000122,0,1,"Let $\mathbb{Z}^+$ denote the set of positive integers, $Y$ be the set of all finite sequences of positive integers of even length, and $W = \{A \subseteq Y\ |\ |A| = 2\}$. Gustin's Sequence Space is the set $X = Y \cup (\mathbb{Z}^+ \times W)$ with topology defined as follows:

For any finite sequences $\alpha, \beta$ of arbitrary length, let $\alpha\beta$ be the sequence formed by adjoining $\beta$ to the end of $\alpha$. Let $\alpha \geq i \in \mathbb{Z}$ abbreviate $a \geq i$ for every $a \in \alpha$. Let $\beta \supseteq_i \alpha$ abbreviate that there exists a sequence of finite length $\gamma\geq i$ with $\beta = \alpha\gamma$ and $U_i(\alpha) = \{\beta \in Y\ |\ \beta \supseteq_i \alpha\}$.

Let $q: \mathbb{Z}^+ \times W\rightarrow \mathbb{Z}^+$ be an injective function increasing on its first coordinate. (For example, fix a bijection $p$ from $W$ to the set of all positive primes, and define $q: \mathbb{Z}^+ \times W \rightarrow \mathbb{Z}^+$ by $q(n,w) = [p(w)]^n$.)

Define a topology on $X$ by letting neighborhoods of points $\alpha \in Y$ be sets of the form $U_i(\alpha)$, and neighborhoods of points $(n,w) = (n, \{\alpha, \beta\})$ be sets of the form $V_i(n,w) = \{(n,w)\} \cup U_i\big(\alpha q(n,w)\big) \cup U_i\big(\beta q(n,w)\big) $.

Defined as counterexample #125 (""Gustin's Sequence Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Roy's lattice space,S000123,0,1,"Let $\{C_i\ |\ i < \omega\}$ be a collection of disjoint dense subsets of $\mathbb{Q}$. For specificity, let \(\{p_i:i<\omega\}\) enumerate the prime numbers,
and let \(C_i\) be the rational numbers of the form $\frac{a}{p_i^n}$, with $a$ an integer not divisible by $p_i$.

Let $X = \{(r,i) \in \mathbb{Q} \times \omega\ |\ r \in C_i\} \cup \{\omega\}$ as a set and define a topology on $X$ as follows: neighborhoods of points of the form $(r,2n)$ are open intervals $U_\epsilon(r,2n) = \{(t,2n)\ |\ |r-t|<\epsilon\}$; neighborhoods of points of the form $(r,2n-1)$ have the form $V_\epsilon(r,2n-1) = \{(t,m)\ |\ |r-t|<\epsilon, |m-n|\leq 1\}$; neighborhoods of $\omega$ have the form $W_n(\omega) = \{(s,i)\ |\ i \geq 2n\}$.

Defined as counterexample #126 (""Roy's Lattice Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Roy's lattice subspace,S000124,0,1,"Let $X$ denote {S123}.
Roy's lattice subspace is $X \setminus \{\omega\}$ with the subspace topology.

Defined as counterexample #127 (""Roy's Lattice Subspace"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Knaster-Kuratowski fan,S000125,1,2,"For any $a \in [0,1]$, let $L(a)$ be the line segment from $(a,0)$ to $p = (\frac{1}{2}, \frac{1}{2})$. Let $\mathcal{C}$ be the middle-thirds Cantor set in the unit interval, $\mathcal{E}$ the endpoints of the removed intervals and $\mathcal{F} = \mathcal{C} \setminus \mathcal{E}$. Define $A = \{(x,y) \in L(c)\ |\ c \in \mathcal{E}, y \in \mathbb{Q}\}$ and $B = \{(x,y) \in L(c)\ |\ c \in \mathcal{F}, y \not\in \mathbb{Q}\}$. This space is $X = A \cup B \subset \mathbb{R}^2$ with the subspace topology.

The subspace $X\setminus\{p\}$ obtained by removing the apex point is {S126}.

Defined as counterexample #128 (""Cantor's Leaky Tent"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- ![](http://i.imgur.com/P36Jx0z.png?1) -->"
Punctured Knaster-Kuratowski fan,S000126,1,2,"{S000125} with the apex removed. Specifically: For any $a \in [0,1]$, let $L(a)$ be the line segment from $(a,0)$ to $p = (\frac{1}{2}, \frac{1}{2})$. Let $\mathcal{C}$ be the middle-thirds Cantor set in the unit interval, $\mathcal{E}$ the endpoints of the removed intervals and $\mathcal{F} = \mathcal{C} \setminus \mathcal{E}$. Define $A = \{(x,y) \in L(c)\ |\ c \in \mathcal{E}, y \in \mathbb{Q}\}$ and $B = \{(x,y) \in L(c)\ |\ c \in \mathcal{F}, y \not\in \mathbb{Q}\}$. This space is $X = (A \cup B) \setminus\{p\} \subset \mathbb{R}^2$ with the subspace topology.

Defined as counterexample #129 (""Cantor's Teepee"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- ![enter image description here](http://i.imgur.com/m2a0RHL.png?1) -->"
Pseudo-arc,S000127,0,2,"The pseudo-arc is a non-degenerate, hereditarily indecomposable, chainable
(i.e. arc-like) continuum. (All such continua are homeomorphic.)

Defined as counterexample #130 (""A Pseudo-Arc"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Miller's biconnected set,S000128,0,1,"Let $C \subset [0,1]$ be the Cantor set. Let $W = C \times [0,1] \subset \mathbb{R}^2$. Let $K$ be an indecomposable continuum such that $K \cap [0,1]^2 = W$. Let $\Delta$ be a countable dense subset of $K$ (which exists, as $K$ is compact and metrizable). Let $\mathcal{C}$ be the set of composants of $K$, $\mathcal{B}$ the set of continua which separate  $K$ and $\mathcal{D}$ the set of subsets of $\Delta$ which are dense in some square $S \subset [0,1]^2$ which meets $W$ and has edges parallel to the $x$- and $y$- axes. Choose well orderings $\{C_\alpha\}$, $\{B_\alpha\}$ and $\{D_\alpha\}$ of $\mathcal{C}$, $\mathcal{B}$ and  $\mathcal{D}$ respectively for $\alpha < \kappa$ where $\kappa$ is the least ordinal with $|\kappa| = \mathfrak{c}$.

Inductively define for each $\alpha$ an $M_\alpha \subset K$ and simple closed curve $J_\alpha$ such that:

1. $M_\alpha = p_\alpha \in B_\alpha \cap K$ if $B_\alpha \cap \Delta = \emptyset$
2. $M_\alpha = \emptyset$ if $B_\alpha \cap \Delta \neq \emptyset$
3. For ordinals $\mu \neq \lambda$ with $M_\mu, M_\lambda \neq \emptyset$, $M_\mu$ and $M_\lambda$ are in different composants of $K$
4. $J_\alpha$ separates $K$
5. $J_\alpha \cap \Delta \setminus D_\alpha = J_\alpha \cap M = \emptyset$ where $M = \bigcup_{\alpha < \kappa} M_\alpha$

Let $X = \Delta \cup M \subset \mathbb{R}^2$ with the subspace topology.   

Defined as counterexample #131 (""Miller's Biconnected Set"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Wheel without its hub,S000129,0,1,"Let $X = \{(x,y) \in \mathbb{R}^2\ |\ 0< x^2 + y^2 \leq 1\}$ with topology generated by the standard Euclidean topology, along with all open intervals on the radii contained in the open unit disc.

Defined as counterexample #132 (""Wheel without Its Hub"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Tangora's connected space,S000130,0,1,"Let $A,B,C$ partition the reals into three dense subspaces; for example, let
$A = \{\frac{m}{2^n}:m\in\mathbb Z,n<\omega\} \subset \mathbb{Q}$ be the dyadic rationals,
$B = \mathbb{Q} \setminus A$, and $C = \mathbb{R}\setminus\mathbb{Q}$.
Let $X$ extend the usual topology on $\mathbb{R}$ by defining $A$ and $B$ open,
along with sets of the form $\{c\} \cup \big( (c-\delta,c+\delta) \setminus C\big)$ for
$c\in C$ and $\delta > 0$.

Defined as counterexample #133 (""Tangora's Connected Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Sequential fan with $\omega$-many spines,S000131,1,2,"The space $X=S_\omega$ is obtained from the disjoint union of a countably infinite number of convergent sequences ({S20}) by identifying all the limit points to a single point $\infty$.

So $X=(\omega\times\omega)\cup\{\infty\}$ as sets, with all the points of $\omega\times\omega$ isolated and neighborhoods of $\infty$ being the sets omitting finitely many points from each of the columns of $\omega\times\omega$.
Basic open neighborhoods of $\infty$ are given by the sets
$U_f=\{\infty\}\cup\{(m,n)\in\omega\times\omega:n\ge f(m)\}$
for some arbitrary function $f:\omega\to\omega$.

See also <https://dantopology.wordpress.com/2015/07/01/a-note-on-products-of-sequential-fans> for useful information.

Compare with the coarser topology of {S202}."
Duncan's space,S000132,0,3,"Let $A$ be the set of all strictly increasing, infinite sequences of positive integers. For any $x\in A$, define $N(n,x)$ as the number of elements of $x$ less than $n$. Let $\delta (x) =\lim_{n\to\infty} \frac{N(n,x)}{n}$. Let $X$ be the subset of $A$ containing precisely the sequences $x$ for which $\delta(x)$ exists. Now for any $x,y\in X$ define $k(x,y)$ to be the smallest index $i$ such that $x_i\neq y_i$. We define a metric $d(x,y)$ on $X$ as $$d(x,y)=\frac{1}{k(x,y)}+|\delta (x) - \delta (y)| \text{ with } d(x,x)=0.$$ Duncan's Space is the topology on $X$ induced by this metric.

Defined as counterexample #136 (""Duncan's Space"")
in {{doi:10.1007/978-1-4612-6290-9}}.

Introduced and studied by R. L. Duncan in 
{{zb:0085.03002}} (<https://www.jstor.org/stable/2309919>)
and {{zb:0109.03302}} (<https://www.jstor.org/stable/2309171>)."
Real line with post office metric,S000133,1,2,"A space $X$ with a particular point $p$ satisfying:

- Each point $x\ne p$ is isolated.
- The point $p$ has a countable neighborhood base $\{V_n:n<\omega\}$ such that $V_0=X$, $V_{n+1}\subseteq V_n$ and $|V_n\setminus V_{n+1}|=|\mathbb R|$ for each n, and $\bigcap_{n<\omega}V_n=\{p\}$.

These conditions uniquely determine the space $X$ up to homeomorphism, as shown in {{mathse:4833751}}.

Here are a few examples of spaces satisfying the conditions (see {{mathse:4834226}}).

- The space $X=\mathbb{R}$ with $p=0$. The basic open neighborhoods of $0$ are the Euclidean open intervals around $0$.

- The post office metric space defined as
counterexample #139 (""The Post Office Metric"")
in {{doi:10.1007/978-1-4612-6290-9}}, where $X=\mathbb R^n$ with $n\ge 1$ and $p$ is the origin.
The *post office metric* $d$ on $\mathbb R^n$ is defined by:

$$d(x,y) = \begin{cases}
    0 & \text{if } x=y, \\
    \|x\| + \|y\| & \text{otherwise.}
\end{cases}$$

- The ordered space $(\mathbb R\times\mathbb Z)\cup\{\infty\}$ with its order topology, where $\mathbb R\times\mathbb Z$ has its lexicographical ordering and $\infty$ is an additional maximum point (and the particular point)."
Radial metric on the plane,S000134,1,2,"If $d_e$ is the usual Euclidean metric on $\mathbb{R}^2$, the radial metric $r$ is defined by:

$r(x,y) = \begin{cases}
d_e(x,y), & x \text{ and } y \text{ are colinear with } \vec 0\\
d_e(x,\vec 0) + d_e(y,\vec 0), & \text{otherwise.}
\end{cases}$

Defined as counterexample #140 (""The Radial Metric"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Radial intervals through the origin of the plane,S000135,1,1,"The radial interval topology on the plane $X=\mathbb{R}^2$ is generated by the basis consisting of open intervals disjoint from the origin on lines passing through the origin, along with sets of the form $\bigcup\{I_\theta : 0 \leq \theta < \pi\}$ where $I_\theta$ is an open interval about the origin on the line with slope $\tan\theta$.

Defined as counterexample #141 (""Radial Interval Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Bing's discrete extension space,S000136,1,2,"Let $X = 2^{2^\mathbb{R}}$. For $r \in \mathbb{R}$, let $x_r: 2^\mathbb{R} \rightarrow 2$ by $x_r(\lambda) = 1 \iff r \in \lambda$. Let $M = \{x_r: r \in \mathbb{R}\}$. Bing's Discrete Extension Space is the set $X$ where points of $M$ have their usual product neighborhoods and points of $X \setminus M$ are isolated.

Defined as counterexample #142 (""Bing's Discrete Extension Space"")
in {{doi:10.1007/978-1-4612-6290-9}}
and Example G in {{doi:10.4153/CJM-1951-022-3}}."
Michael's closed subspace,S000137,0,1,"Michael's Closed Subspace is the subspace $Y = M \cup F$ of {S000136} $X$ where
$F=\{x\in X\setminus M: x(\lambda)=1 \text{ for only finitely many }\lambda\in 2^{\Bbb{R}}\}$.

Defined as counterexample #143 (""Michael's Closed Subspace"")
in {{doi:10.1007/978-1-4612-6290-9}}.

See also <https://dantopology.wordpress.com/2012/12/02/a-subspace-of-bings-example-g/>."
Rudin's Dowker space,S000138,0,2,"Rudin's Dowker space $X$ is the subset of the product $\Pi_{n\in\omega}(\omega_{n+1}+1)$ with the box topology consisting of all functions $f$ such that, for some $i$, we have $\omega< cf(f(n))<\omega_i$ for all $n\in\omega$.  

See {{doi:10.4064/fm-73-2-179-186}} and section 3.2(i) of {{mr:0776636}}."
Countable bouquet of circles,S000139,3,3,"Let $X=\mathbb R/\mathbb Z$ to be the quotient of $\mathbb R$ (with its Euclidean topology) obtained by identifying all the points of $\mathbb Z$ to a single point $\infty$.

Alternatively, this space can be characterized as the *wedge sum*
(see {{wikipedia:Wedge_sum}}) of countably-many circles,
also known as a *bouquet of countably many circles*.

Not to be confused with {S201}, which has a coarser topology."
Real numbers extended by a point with co-countable open neighborhoods,S000140,0,2,"Let $X=\mathbb R\cup \{\infty\}$, with $\mathbb R$ having the Euclidean topology and open in $X$, and open neighborhoods of $\infty$ given by sets of the form $U\cup\{\infty\}$, where $U\subseteq \mathbb R$ is co-countable and open in the Euclidean topology. 

Constructed in {{mathse:4850979}} as an example of a space that is {P173} and {P81}, yet fails to be {P79}, yielding a counterexample to a natural analogue of {T211}.  Elaborated on in {{mathse:4854178}}."
Ordered space $\omega_1+1+\omega^*$,S000141,0,1,"Let $X$ be the ordered space $\omega_1+1+\omega^*$ with the corresponding order topology.  Here $+$ is concatenation, $\omega_1$ is {S35}, $1$ is the singleton $\{p\}$ for some point $p$, and $\omega^*$ is $\omega$ with the reverse order.

This provides an example of a {P133} space that is not {P174}.

See {{mathse:4884795}}."
Erdős space,S000142,0,2,"The subspace $X$ of $\ell^2$ consisting of those sequences $x=(x_i)_i$ with all $x_i\in\mathbb Q$.

The space $\ell^2$ is the Banach space of sequences of real numbers $x=(x_i)_i$ with $\Sigma_i x_i^2<\infty$,
equipped with the norm $\|x\|_2=(\Sigma_i x_i^2)^{1/2}$ and corresponding distance and topology.

The space $\ell^2$ is topologically homeomorphic to {S30};
but note the space $X$ is *not* homeomorphic to the subspace {S146} of $\mathbb R^\omega$.

See {{mathse:151954}} or Example 6.2.19 in {{zb:0684.54001}}."
Butterfly space,S000143,1,2,"The space $X=\mathbb R\times [0,\infty)$ is the closed upper half-plane topologized as follows.  Points above the $x$-axis have their usual Euclidean neighborhoods.  A local base for a point $p=\langle p_x,0\rangle$ on the $x$-axis is formed by the ""butterfly neighborhoods"" $N_\varepsilon(p)$ for $\varepsilon>0$, where $N_\varepsilon(p)$ consists of $p$ together with all points $q=\langle q_x,q_y\rangle$ at distance less than $\varepsilon$ from $p$ and lying underneath the union of the two rays in $X$ that emanate from $p$ and have slopes $\varepsilon$ and $-\varepsilon$.  In formula, $$N_\varepsilon(p)=\{p\} \cup \{q\in X:\|q-p\|<\varepsilon\text{ and }q_y<\varepsilon|q_x-p_x|\}.$$

Defined as Example 12.1 in {{zb:0148.16701}} (<https://www.jstor.org/stable/24901448>).

Exercise 3.1.I in {{zb:0684.54001}} defines a very similar space of the same name, with a slightly different topology but essentially the same properties."
Diamond poset $2\times 2$ with Alexandrov topology,S000144,1,2,"Let $P=(\{0,a,b,1\},\le)$ be the four-element poset with $0$ as minimum element, $1$ as maximum element, and the remaining elements $a$ and $b$ incomparable.  This poset is order-isomorphic to the Boolean algebra with four elements.  The space $X$ is $P$ with the corresponding Alexandrov topology, whose open sets are the upper sets for $\le$.

The name ""diamond poset"" is used for example in {{doi:10.1016/j.jcta.2015.03.010}}."
Free ultrafilter topology on $\omega$,S000145,0,3,"The space $X$ is the set $\omega$ with topology $\tau=\mathscr U\cup\{\emptyset\}$,
where $\mathscr U$ is a free ultrafilter on $\omega$.

The space is described for example in {{mathse:3088994}} and as item (3) in Theorem 1 of {{zb:1400.39025}}.

Not to be confused with {S111}.

Note: The topology on $X$ depends on the choice of ultrafilter.  There are $2^{\mathfrak c}$ homeomorphism classes of such spaces (see for example {{mathse:34841}}).  However, the properties currently tracked in π-Base for this space do not depend on that choice."
Countable product of rationals $\mathbb Q^\omega$,S000146,0,3,"The countable product of copies of {S27}.

This space is a subspace of {S30}.
Note that it is not homeomorphic to {S142}.

See {{mathse:4416328}}, {{zb:0642.54033}}, or {{zb:0562.54054}}."
(CH) A Luzin subset of the reals (The special Lusin set $L$),S000147,1,2,"An uncountable subset of the reals such that its intersection with
every nowhere dense subset of the reals (equivalently,
every meager subset of the reals) is countable.
For background information, see the article {{zb:0389.54004}}, available at the [Topology Proceedings webpage](https://topology.nipissingu.ca/tp/reprints/v01/tp01021s.pdf).

Note that the construction of such a set requires additional axioms beyond $ZFC$.

Here we use the $CH$ construction from Lemma 2.6 of {{doi:10.1016/S0166-8641(96)00075-2}}
in order to guarantee the failure of {P150}."
(CH) A Luzin subset of the reals (The generic Lusin set $H$),S000148,1,2,"An uncountable subset of the reals such that its intersection with
every nowhere dense subset of the reals (equivalently,
every meager subset of the reals) is countable.
For background information, see the article {{zb:0389.54004}}, available at the [Topology Proceedings webpage](https://topology.nipissingu.ca/tp/reprints/v01/tp01021s.pdf).

Note that the construction of such a set requires additional axioms beyond $ZFC$.

Here we use the $CH$ construction from Theorem 2.13 of {{doi:10.1016/S0166-8641(96)00075-2}}
in order to guarantee {P150}."
Two-sided long line,S000149,0,1,"This space $X$ is constructed from {S38} with a mirror copy extending in the other direction.

Let $L$ denote the {S38} $\omega_1\times[0,1)$ with the lexicographic order
and let $L^\ast$ be a copy of $L$ with the reverse order.
As an ordered set, $X$ is obtained from $L^\ast$ followed by $L$ with $\max(L^\ast)$ and $\min(L)$ identified.
It is given the corresponding order topology."
